Abel,Abellel
Ivan,Ivannal
Izabella,Izabellaval
Janka,Jankaval
Janos,Janossal
Jazmin,Jazminnal
Jeno,Jenovel
Johanna,Johannaval
Jolan,Jolannal
Jozsef,Jozseffel
Judit,Judittal
Julia,Juliaval
Julianna,Juliannaval
Kalman,Kalmannal
Kamilla,Kamillaval
Karoly,Karollyal
Kata,Kataval
Katalin,Katalinnal
Kende,Kendevel
Kevin,Kevinnel
Kincso,Kincsovel
Kinga,Kingaval
Kira,Kiraval
Kitti,Kittivel
Klara,Klaraval
Klaudia,Klaudiaval
Koppany,Koppannyal
Kornel,Kornellal
Kristof,Kristoffal
Krisztian,Krisztiannal
Krisztina,Krisztinaval
Krisztofer,Krisztoferrel
Lajos,Lajossal
Lara,Laraval
Laszlo,Laszloval
Laura,Lauraval
Leila,Leilaval
Lena,Lenaval
Leticia,Leticiaval
Levente,Leventevel
Lia,Liaval
Lili,Lilivel
Liliana,Lilianaval
Lilien,Liliennel
Lilla,Lillaval
Livia,Liviaval
Liza,Lizaval
Lorant,Loranttal
Lorinc,Lorinccel
Lotti,Lottival
Luca,Lucaval
Magdolna,Magdolnaval
Maja,Majaval
Marcell,Marcellel
Margit,Margittal
Maria,Mariaval
Mariann,Mariannal
Marianna,Mariannaval
Mark,Markkal
Marko,Markoval
Marta,Martaval
Martin,Martinnal
Marton,Martonnal
Mate,Mateval
Matyas,Matyassal
Melinda,Melindaval
Melissza,Melisszaval
Mercedesz,Mercedeszzel
Mihaly,Mihallyal
Miklos,Miklossal
Milan,Milannal
Mira,Miraval
Monika,Monikaval
Nandor,Nandorral
Natalia,Nataliaval
Nikolasz,Nikolaszzal
Nikolett,Nikolettel
Nikoletta,Nikolettaval
Nimrod,Nimroddal
Noel,Noellel
Noemi,Noemivel
Nora,Noraval
Norbert,Norberttel
Olga,Olgaval
Oliver,Oliverrel
Olivia,Oliviaval
Orsolya,Orsolyaval
Otto,Ottoval
Pal,Pallal
Panna,Pannaval
Patricia,Patriciaval
Patrik,Patrikkal
Peter,Peterrel
Petra,Petraval
Piroska,Piroskaval
Ramona,Ramonaval
Rebeka,Rebekaval
Regina,Reginaval
Reka,Rekaval
Renata,Renataval
Renato,Renatoval
Richard,Richarddal
Rikardo,Rikardoval
Rita,Ritaval
Robert,Roberttel
Roland,Rolanddal
Roza,Rozaval
Rozalia,Rozaliaval
Rozsa,Rozsaval
Rudolf,Rudolffal
Samuel,Samuellel
Sandor,Sandorral
Sara,Saraval
Sarolta,Saroltaval
Sebestyen,Sebestyennel
Simon,Simonnal
Soma,Somaval
Szabina,Szabinaval
Szabolcs,Szabolcssal
Szebasztian,Szebasztiannal
Szilard,Szilarddal
Szilveszter,Szilveszterrel
Szilvia,Szilviaval
Szofia,Szofiaval
Szonja,Szonjaval
Tamara,Tamaraval
Tamas,Tamassal
Terez,Terezzel
Terezia,Tereziaval
Tibor,Tiborral
Tifani,Tifanival
Timea,Timeaval
Tivadar,Tivadarral
Tunde,Tundevel
Valeria,Valeriaval
Vanda,Vandaval
Vanessza,Vanesszaval
Veronika,Veronikaval
Viktor,Viktorral
Viktoria,Viktoriaval
Vilmos,Vilmossal
Vince,Vincevel
Viola,Violaval
Virag,Viraggal
Vivien,Viviennel
Zalan,Zalannal
Zeteny,Zetennyel
Zita,Zitaval
Zoe,Zoeval
Zoltan,Zoltannal
Zsanett,Zsanettel
Zselyke,Zselykevel
Zsigmond,Zsigmonddal
Zsofia,Zsofiaval
Zsolt,Zsolttal
Zsombor,Zsomborral
Zsuzsanna,Zsuzsannaval
